DATE	TIME	BID	ASK	LAST	VOLUME	FLAGS
2022-06-17	18:45:25			61944	2	56
2022-06-17	18:45:25			61944	4	56
2022-06-17	18:45:25			61945	1	56
2022-06-17	18:45:25			61945	2	56
2022-06-17	18:45:25			61945	2	56
2022-06-17	18:45:25			61945	1	56
2022-06-17	18:45:25			61946	12	56
2022-06-17	18:45:25			61946	2	56
2022-06-17	18:45:25			61946	2	56
2022-06-17	18:45:25			61947	2	56
2022-06-17	18:45:25			61947	2	56
2022-06-17	18:45:25			61947	1	56
2022-06-17	18:45:25			61948	7	56
2022-06-17	18:45:25			61948	2	56
2022-06-17	18:45:25			61948	2	56
2022-06-17	18:45:25			61948	2	56
2022-06-17	18:45:25			61949	5	56
2022-06-17	18:45:25			61949	2	56
2022-06-17	18:45:25			61949	2	56
2022-06-17	18:45:25			61949	2	56
2022-06-17	18:45:25			61949	2	56
2022-06-17	18:45:25			61949	1	56
2022-06-17	18:45:25			61949	2	56
2022-06-17	18:45:25			61950	1	56
2022-06-17	18:45:25			61950	6	56
2022-06-17	18:45:25			61950	1	56
2022-06-17	18:45:25			61950	1	56
2022-06-17	18:45:25			61950	1	56
2022-06-17	18:45:25			61950	1	56
2022-06-17	18:45:25			61952	1	56
2022-06-17	18:45:25			61952	1	88
2022-06-17	18:45:25			61952	1	88
2022-06-17	18:45:25			61952	1	56
2022-06-17	18:45:25			61952	13	56
2022-06-17	18:45:25	61951	61952			6
2022-06-17	18:45:25			61952	1	56
2022-06-17	18:45:25			61952	1	56
2022-06-17	18:45:25	61950				2
2022-06-17	18:45:25			61952	1	56
2022-06-17	18:45:25			61952	2	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	2	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26			61952	2	56
2022-06-17	18:45:26			61952	1	56
2022-06-17	18:45:26	61952	61954			6
2022-06-17	18:45:26	61949				2
2022-06-17	18:45:26			61954	1	56
2022-06-17	18:45:26			61954	1	56
2022-06-17	18:45:26		61950			4
2022-06-17	18:45:26			61949	2	88
2022-06-17	18:45:26			61948	1	88
2022-06-17	18:45:26			61948	1	88
2022-06-17	18:45:26	61948				2
2022-06-17	18:45:26			61950	1	56
2022-06-17	18:45:26		61954			4
2022-06-17	18:45:26			61954	4	56
2022-06-17	18:45:26			61954	1	56
2022-06-17	18:45:26			61955	1	56
2022-06-17	18:45:26			61955	2	56
2022-06-17	18:45:26		61955			4
2022-06-17	18:45:26		61954			4
2022-06-17	18:45:26		61955			4
2022-06-17	18:45:26	61950				2
2022-06-17	18:45:27	61954				2
2022-06-17	18:45:27			61954	1	88
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27			61955	4	56
2022-06-17	18:45:27			61955	1	56
2022-06-17	18:45:27	61953				2
2022-06-17	18:45:27			61954	1	88
2022-06-17	18:45:27	61954				2
2022-06-17	18:45:27			61955	2	56
2022-06-17	18:45:27			61954	1	88
2022-06-17	18:45:27			61953	2	88
2022-06-17	18:45:27	61953				2
2022-06-17	18:45:28			61955	1	56
2022-06-17	18:45:29	61952				2
2022-06-17	18:45:29			61953	1	88
2022-06-17	18:45:29	61951				2
2022-06-17	18:45:29	61950				2
2022-06-17	18:45:29			61952	1	88
2022-06-17	18:45:29			61951	2	88
2022-06-17	18:45:30			61955	1	56
2022-06-17	18:45:30		61954			4
2022-06-17	18:45:31			61950	7	88
2022-06-17	18:45:31			61950	1	88
2022-06-17	18:45:31		61955			4
2022-06-17	18:45:31			61955	2	56
2022-06-17	18:45:32			61955	1	56
2022-06-17	18:45:32			61950	1	88
2022-06-17	18:45:32			61950	3	88
2022-06-17	18:45:32			61949	2	88
2022-06-17	18:45:32			61948	2	88
2022-06-17	18:45:32			61947	2	88
2022-06-17	18:45:32			61947	2	88
2022-06-17	18:45:32			61947	2	88
2022-06-17	18:45:32			61947	2	88
2022-06-17	18:45:32			61955	3	56
2022-06-17	18:45:32	61947	61954			6
2022-06-17	18:45:32			61947	1	88
2022-06-17	18:45:33			61954	2	56
2022-06-17	18:45:34		61948			4
2022-06-17	18:45:34		61954			4
2022-06-17	18:45:34			61948	1	56
2022-06-17	18:45:34		61953			4
2022-06-17	18:45:34			61947	1	88
2022-06-17	18:45:34			61947	1	88
2022-06-17	18:45:34			61947	1	88
2022-06-17	18:45:34			61947	2	88
2022-06-17	18:45:34			61947	1	88
2022-06-17	18:45:34		61952			4
2022-06-17	18:45:34			61947	1	88
2022-06-17	18:45:34			61946	2	88
2022-06-17	18:45:34			61946	5	88
2022-06-17	18:45:34			61946	2	88
2022-06-17	18:45:34		61953			4
2022-06-17	18:45:34			61952	2	56
2022-06-17	18:45:34		61951			4
2022-06-17	18:45:35			61947	1	88
2022-06-17	18:45:35			61947	1	88
2022-06-17	18:45:35	61948				2
2022-06-17	18:45:35	61947				2
2022-06-17	18:45:35	61948				2
2022-06-17	18:45:35	61947				2
2022-06-17	18:45:35			61947	2	88
2022-06-17	18:45:36			61947	1	88
2022-06-17	18:45:36		61950			4
2022-06-17	18:45:36	61946				2
2022-06-17	18:45:36			61947	1	88
